nombre,organismo,tipo,estado,descripcion,monto_min,monto_max,moneda,fecha_apertura,fecha_cierre,url,region,score_hak,internacional,created_at
FNDR 8% Social — Ñuble,GORE Ñuble,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región XVI. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+%C3%91uble+concurso+2026+postulaci%C3%B3n+site%3Agoreniuble.cl,Ñuble,50,0,2026-04-12 16:39:35
FNDR 8% Social — Los Ríos,GORE Los Ríos,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región XIV. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Los+R%C3%ADos+concurso+2026+postulaci%C3%B3n+site%3Agorelosrios.cl,Los Ríos,50,0,2026-04-12 16:39:35
FNDR 8% Social — Los Lagos,GORE Los Lagos,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región X. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Los+Lagos+concurso+2026+postulaci%C3%B3n+site%3Agoreloslagos.cl,Los Lagos,50,0,2026-04-12 16:39:35
FNDR 8% Social — Aysén,GORE Aysén,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región XI. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Ays%C3%A9n+concurso+2026+postulaci%C3%B3n+site%3Agoreaysen.cl,Aysén,50,0,2026-04-12 16:39:35
FNDR 8% Social — Magallanes,GORE Magallanes,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región XII. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Magallanes+concurso+2026+postulaci%C3%B3n+site%3Agoremagallanes.cl,Magallanes,50,0,2026-04-12 16:39:35
FOAL — Fundación ONCE para América Latina,ONCE Internacional / Grupo Social ONCE,comunitario,abierto,"Fondo específico para inclusión de personas con discapacidad visual en América Latina. Financia educación inclusiva, empleo, accesibilidad. Opera en 19 países Latam incluyendo Chile. Alineación perfecta con Fundación HAK.",5000.0,100000.0,EUR,,,https://gruposocialonce.com/en/accion-internacional,,50,1,2026-04-12 20:36:11
Perkins International — Programas Educación Inclusiva Visual,Perkins School for the Blind (USA),comunitario,abierto,"La escuela que formó a Anne Sullivan (maestra de Helen Keller) financia y asesora programas de educación para personas con discapacidad visual en Latam. Ofrece capacitación, materiales y conexión con red global. Relevancia simbólica y práctica para Fundación HAK.",5000.0,50000.0,USD,,,https://www.perkins.org/,,50,1,2026-04-12 20:36:11
Fondo Chile (UNDP + AGCID),PNUD + Cancillería,mixto,proximo,Cooperación sur-sur. HAK puede liderar proyecto exportando metodología ATE/PIE/PME a otro país LATAM.,50000000.0,80000000.0,CLP,,,https://fondochile.cl/convocatoria-2026/,,50,0,2026-05-11 18:03:41
CBM — Christoffel-Blindenmission (Proyectos Ceguera Latam),CBM International,comunitario,abierto,ONG alemana especializada en ceguera y discapacidad múltiple. Financia organizaciones locales que trabajan con personas con discapacidad visual en países de bajos y medianos ingresos. Alta relevancia para HAK en comunidades rurales de La Araucanía.,10000.0,200000.0,EUR,,,https://www.cbm.org/,,48,1,2026-04-12 20:36:11
[COLABORACIÓN] BID — Programa Resiliencia ante Desastres Chile (USD 10M),Banco Interamericano de Desarrollo (BID),mixto,proximo,"[COLABORACIÓN GOBIERNO-A-GOBIERNO] Programa 'Preparados y Resilientes en las Américas' 2025-2030 con USD 10M no reembolsables + créditos. 3 pilares: gobernanza, monitoreo/infraestructura, respuesta. SERNAGEOMIN accede como EJECUTOR TÉCNICO del componente monitoreo si el gobierno de Chile así lo prioriza. VÍA DE ACCESO: coordinación con Ministerio de Hacienda + Ministerio de Minería + representante BID Chile.",100000.0,10000000.0,USD,,,https://www.iadb.org/en/sector/reform-modernization-state/dialogue-disaster-risk-management,Nacional,45,1,2026-04-22 04:53:17
US Embassy — Public Diplomacy Small Grants,Embajada EE.UU.,comunitario,proximo,"Educación, inglés, intercambio cultural. Capacitación docente con metodologías US.",8000000.0,40000000.0,CLP,,,https://cl.usembassy.gov/grants-corner/,,44,1,2026-05-11 18:03:41
Subvención Presidencial — Fortalecimiento Sociedad Civil,Ministerio Desarrollo Social,comunitario,proximo,Subvención discrecional anual para fundaciones y ONGs con impacto social. Priorización política.,5000000.0,100000000.0,CLP,,,https://programassociales.ministeriodesarrollosocial.gob.cl/programa_subvenciones,,38,0,2026-05-11 18:03:41
Australia Direct Aid Program (DAP),Embajada Australia,comunitario,proximo,"Educación inclusiva, género, DDHH. Cubre Chile + Perú + Bolivia + Ecuador. Hasta AUD 100K.",5000000.0,60000000.0,CLP,,,https://chile.embassy.gov.au/scleenglish/application.html,,38,1,2026-05-11 18:03:41
Fundación Educacional Arauco — Programas Rurales,Fundación Educacional Arauco,comunitario,abierto,"Capacitación docente escuelas rurales. Cubre Maule, Ñuble, Biobío, Los Ríos, ahora SLEP Costa Araucanía. Competidor + posible socio.",0.0,0.0,CLP,,,https://www.fundacionarauco.cl/,La Araucanía,38,0,2026-05-11 18:03:41
SENADIS — Tránsito a la Vida Independiente (TVI),SENADIS,comunitario,proximo,Programa para personas con discapacidad que viven en situación de dependencia institucional. Apoya la transición hacia vida independiente con apoyos comunitarios. Complementario al FONAPI.,2000000.0,15000000.0,CLP,,,https://www.senadis.gob.cl/pag/12/45/proyectos_inclusion,,32,0,2026-04-12 20:36:11
FONAPI — Fondo Nacional de Proyectos Inclusivos,SENADIS,comunitario,proximo,"Fondo exclusivo para proyectos de inclusión social de personas con discapacidad. Montos según número de beneficiarios ($10M-$30M). Activo, convocatoria mayo-junio. Verificado 2025.",10000000.0,30000000.0,CLP,,,https://www.senadis.gob.cl/pag/12/45/proyectos_inclusion/pag/754/1756/fondo_concursable_senadis,,32,0,2026-04-12 20:36:11
INJUV — Fondo Acción Joven OMJ,INJUV,comunitario,proximo,Proyectos para jóvenes 18-29 años. HAK podría línea capacitación docentes nuevos / mentoría.,1000000.0,5000000.0,CLP,,,https://www.google.com/search?q=%22INJUV%20%E2%80%94%20Fondo%20Acci%C3%B3n%20Joven%20OMJ%22%20INJUV%20postulaci%C3%B3n%202026,,32,0,2026-05-11 18:03:41
Fundación La Caixa — Cooperación Internacional,Fundación La Caixa (España),comunitario,proximo,Hasta EUR 50K para 18 meses. Requiere ONGD española como solicitante + socio chileno (HAK). Chile mencionado.,20000000.0,50000000.0,CLP,,,https://fundacionlacaixa.org/es/convocatorias-sociales-cooperacion-internacional,,32,1,2026-05-11 18:03:41
Fundación MAPFRE — Cooperación Chile,Fundación MAPFRE (España),comunitario,abierto,Educación integral. Tienen proyectos activos en Chile. Acuerdos directos con ONG.,5000000.0,40000000.0,CLP,,,https://www.fundacionmapfre.org/en/social-action/international-projects/chile/,,32,1,2026-05-11 18:03:41
Fundación SURA — Calidad Educación / Cultura LATAM,Fundación SURA (Colombia/Chile),comunitario,proximo,Líneas calidad educación + cultura. Hasta USD 100K. Tiene operación en Chile.,10000000.0,95000000.0,CLP,,,https://www.fundacionsura.com/fundacion-sura-en-chile/,,32,1,2026-05-11 18:03:41
FNDR 2% — Iniciativas de Inversión Regional La Araucanía,GORE La Araucanía,mixto,abierto,"Fondo Nacional de Desarrollo Regional para proyectos de inversión en infraestructura, equipamiento y construcción. Organismos públicos, municipalidades y servicios pueden postular. Ideal para infraestructura edilicia, equipamiento tecnológico, renovación de instalaciones. Convocatoria abierta 2025.",20000000.0,2000000000.0,CLP,,,https://gorearaucania.cl/index.php?id=303,La Araucanía,30,0,2026-04-22 04:31:05
"FNDR 6% — Deporte, Cultura, Seguridad, Medioambiente La Araucanía",GORE La Araucanía,comunitario,abierto,"Fondo para proyectos en líneas de deporte, cultura, seguridad ciudadana y medioambiente. Hasta $25M para municipios; hasta $5M para privados. Incluye seguridad comunitaria que puede vincularse con alertas tempranas volcánicas.",2000000.0,25000000.0,CLP,,,https://gorearaucania.cl/index.php?id=1143,La Araucanía,30,0,2026-04-22 04:31:05
FNDR Inversión Regional (2%) — La Araucanía,GORE La Araucanía,mixto,abierto,"Fondo Nacional de Desarrollo Regional para inversión pública. Postulantes elegibles: Servicios Públicos, Municipalidades, Universidades Estatales. SERNAGEOMIN puede postular como servicio público nacional. Requiere proyecto inscrito en BIP (Banco Integrado de Proyectos) con recomendación técnica MIDEPLAN. Útil para infraestructura edilicia, equipamiento tecnológico, renovación de instalaciones. La aprobación final la da el CORE regional.",20000000.0,2000000000.0,CLP,,,https://gorearaucania.cl/index.php?id=303,La Araucanía,30,0,2026-04-22 04:45:45
FNDR 6% Seguridad/Medioambiente — La Araucanía,GORE La Araucanía,comunitario,abierto,"Fondo para proyectos en líneas de deporte, cultura, SEGURIDAD CIUDADANA y medioambiente. SERNAGEOMIN podría acceder bajo línea 'seguridad' si el monitoreo volcánico se clasifica como seguridad regional (alerta temprana a población). Hasta $25M para municipios; hasta $5M para privados. Requiere BIP y alineación con prioridades regionales.",2000000.0,25000000.0,CLP,,,https://gorearaucania.cl/index.php?id=1143,La Araucanía,30,0,2026-04-22 04:45:45
"FNDR 8%, Organizaciones Privadas, Año 2026",GORE La Araucanía,mixto,proximo,"FNDR 8%, Organizaciones Privadas, Año 2026",,,CLP,,,https://fndr8.gorearaucania.cl/,La Araucanía,30,0,2026-05-06 04:18:06
"FNDR 8%, Municipalidades , Año 202 6",GORE La Araucanía,mixto,desconocido,"FNDR 8%, Municipalidades , Año 202 6",,,CLP,,,https://fndr8.gorearaucania.cl/,La Araucanía,30,0,2026-05-06 04:18:06
Revisa las Bases del concurso FNDR 8%,GORE La Araucanía,mixto,desconocido,Revisa las Bases del concurso FNDR 8%,,,CLP,,,https://fndr8.gorearaucania.cl/,La Araucanía,30,0,2026-05-06 04:18:06
Panel de Inversión 2025,GORE La Araucanía,mixto,desconocido,"La presente sección constituye una herramienta de transparencia y modernización del Gobierno Regional de La Araucanía, orientada a la visualización de la inversión realizada durante el periodo de años 2021-2025. El objetivo principal es permitir el análisis de la dinámica de inversión de recursos públicos bajo criterios de equidad territorial y coherencia estratégica con los instrumentos de planificación regional vigentes. La información se estructura a partir de la Estrategia Regional de Desarr",,,CLP,,,https://gorearaucania.cl/panel-de-inversion-2025-2026,La Araucanía,30,0,2026-05-06 04:22:00
Panel de Inversión 2026,GORE La Araucanía,mixto,proximo,Bienvenido a la plataforma de transparencia del Gobierno Regional de La Araucanía para el periodo 2026. ¿Qué puedes analizar en este panel? Comparativa Histórica: Avance de la inversión del último mes. Prioridades de Inversión: Identificación de sectores con mayor inversión.,,,CLP,,,https://gorearaucania.cl/panel-de-inversion-2025-2026,La Araucanía,30,0,2026-05-06 04:22:00
Subt. 31: Iniciativas de Inversión,GORE La Araucanía,mixto,desconocido,"Infraestructura crítica: Agua potable rural (APR), salud y mejoramiento vial.",,,CLP,,,https://gorearaucania.cl/panel-de-inversion-2025-2026,La Araucanía,30,0,2026-05-06 04:22:00
"En el siguiente panel, se observa una comparación del avance de la inversión realizada durante al año 2026 hasta la fecha, con el mismo periodo del año anterior, información desagregada por subtítulo ",GORE La Araucanía,mixto,proximo,"En el siguiente panel, se observa una comparación del avance de la inversión realizada durante al año 2026 hasta la fecha, con el mismo periodo del año anterior, información desagregada por subtítulo de inversión.",,,CLP,,,https://gorearaucania.cl/panel-de-inversion-2025-2026,La Araucanía,30,0,2026-05-06 04:22:00
Fondo Regional para la Productividad y Desarrollo,GORE La Araucanía,mixto,desconocido,,,,CLP,,,https://gorearaucania.cl/storage/web/assets/f_r_p_d/Anexos%20FRPD%20(2).docx,La Araucanía,30,0,2026-05-06 04:22:00
Tutorial: ¿Cómo Postular al FRPD?,GORE La Araucanía,mixto,abierto,Te invitamos a ver el siguiente video instructivo donde se explica el paso a paso para realizar tu postulación de manera correcta.,,,CLP,,,https://gorearaucania.cl/fondo-regional-productividad-desarrollo,La Araucanía,30,0,2026-05-06 04:22:00
Bases y Documentos Descargables,GORE La Araucanía,mixto,cerrado,Resolución Exenta N°474 extiende el plazo de evaluación técnica.(PDF) Revisa Resolución Exenta N°474 extiende el plazo de Evaluación Técnica hasta el 11.05.2026. Fé de erratas(PDF) Revisa Fé de erratas del acta de sesión resultado de reposiciones y cierre de admisibilidad fondo regional para la productividad y el desarrollo 2025 para entidades privadas.. Acta Final de Resolución de Reposiciones (PDF) Revisa el listado final de iniciativas que avanzan a la etapa de Evaluación Técnica. Acta de Adm,,,CLP,,,https://gorearaucania.cl/storage/web/assets/f_r_p_d/Anexos%20FRPD%20(2).docx,La Araucanía,30,0,2026-05-06 04:22:00
Bases del Concurso (PDF),GORE La Araucanía,mixto,desconocido,Bases administrativas y técnicas completas.,,,CLP,,,https://gorearaucania.cl/fondo-regional-productividad-desarrollo,La Araucanía,30,0,2026-05-06 04:22:00
Cronograma del Concurso,GORE La Araucanía,mixto,cerrado,Etapa / Hito Desde Hasta Apertura de convocatoria 02.12.2025 - Consultas al concurso 02.12.2025 15.01.2026 Respuestas a consultas 20.01.2026 - Cierre de Postulaciones 02.12.2025 30.01.2026 (23:59 hrs) Proceso de Admisibilidad 02.02.2026 13.02.2026 Etapa Reconsideración Admisibilidad 16.02.2026 20.02.2026 Proceso de Revisión de Reposición 23.02.2026 06.03.2026 Evaluación Técnica 09.03.2026 11.05.2026 Aprobación de iniciativas 21.02.2026 02.04.2026,,,CLP,,,https://gorearaucania.cl/fondo-regional-productividad-desarrollo,La Araucanía,30,0,2026-05-06 04:22:00
Fondo Regional de Infraestructura Local,GORE La Araucanía,mixto,desconocido,,,,CLP,,,https://gorearaucania.cl/fril,La Araucanía,30,0,2026-05-06 04:22:00
"¿Qué es el FRIL? El FRIL es un mecanismo de inversión del Gobierno Regional de La Araucanía, aprobado por el Consejo Regional, que financia proyectos de infraestructura comunal de hasta 5.000 UTM. Su ",GORE La Araucanía,mixto,desconocido,"¿Qué es el FRIL? El FRIL es un mecanismo de inversión del Gobierno Regional de La Araucanía, aprobado por el Consejo Regional, que financia proyectos de infraestructura comunal de hasta 5.000 UTM. Su operación se rige por el “Instructivo para la Operación del FRIL”, el cual es publicado en esta página.",,,CLP,,,https://gorearaucania.cl/fril,La Araucanía,30,0,2026-05-06 04:22:00
GEF Small Grants Programme (SGP),UNDP / Fondo para el Medio Ambiente Mundial,comunitario,abierto,"Subvenciones pequeñas para ONGs y organizaciones comunitarias en Chile. Foco: pueblos indígenas, mujeres, juventud. Biodiversidad, cambio climático, contaminantes, degradación de suelos, aguas internacionales.",10000.0,75000.0,USD,,,https://sgp.undp.org/,,26,1,2026-04-12 16:28:27
Open Society Foundations — América Latina,Open Society Foundations (EE.UU.),comunitario,abierto,"USD 19.5M para justicia medioambiental y crecimiento económico justo en ALC. Apoya sociedad civil, derechos indígenas, mujeres, comunidades afrodescendientes. Solicitud mediante carta de consulta (sin plazo fijo).",20000.0,500000.0,USD,,,https://www.opensocietyfoundations.org/what-we-do/regions/latin-america-and-the-caribbean,,26,1,2026-04-12 16:28:27
Fondation Botnar — Fit4Future (Tecnología y Juventud),Fondation Botnar (Suiza),mixto,proximo,"Fundación suiza que financia tecnología digital para mejorar la vida de niños y jóvenes en ciudades de países en desarrollo. Programas activos en Latam (Colombia, Ecuador, expansión 2025). Relevante para Geoimagen en edu-tech con impacto social.",50000.0,500000.0,EUR,,,https://www.fondationbotnar.org/funding-opportunities/,,26,1,2026-04-12 20:36:11
Fundación Lepe — Fondo Común Regenerativo,Fundación Lepe (Chile),comunitario,cerrado,"Fondo chileno privado para proyectos socioambientales. Última convocatoria 2023 (hasta $30M). Suspendió convocatoria 2025 — verificar 2026. Enfoque: desarrollo regenerativo, comunidades vulnerables.",5000000.0,30000000.0,CLP,,,https://fondocomun.cl/,,26,0,2026-04-12 20:36:11
